도서명,island_lon,island_lat,grid_no,gid,rank_nn,dist_m_est,weight_inv_dist2
발도,998978.6960285018,1613075.3163312275,GR2_G1G24,1388,1,1746.2970970503338,3.2791674430533154e-07
발도,998978.6960285018,1613075.3163312275,GR2_G1G31,1449,2,2007.6867465107612,2.480892739615294e-07
발도,998978.6960285018,1613075.3163312275,GR2_G1G23,1387,3,4280.173491040534,5.4585492170075276e-08
봉남도,998666.5698433608,1610214.7600007346,GR2_G1H44,1520,1,2990.035797648168,1.118528812501702e-07
봉남도,998666.5698433608,1610214.7600007346,GR2_G1I11,1569,2,3420.7444071625227,8.545917810968923e-08
봉남도,998666.5698433608,1610214.7600007346,GR2_G1G24,1388,3,4184.113759775504,5.7120632468494136e-08
봉남도-1,1000032.0943772965,1610532.108540127,GR2_G1I11,1569,1,3201.8385329719968,9.754412197229347e-08
봉남도-1,1000032.0943772965,1610532.108540127,GR2_G1G31,1449,2,3798.5165397481865,6.930617428192611e-08
봉남도-1,1000032.0943772965,1610532.108540127,GR2_G1H44,1520,3,3909.063679385058,6.544168621299404e-08
봉남도-2,1000297.5919425763,1610553.8570202077,GR2_G1I11,1569,1,3189.179609858781,9.832002941215332e-08
봉남도-2,1000297.5919425763,1610553.8570202077,GR2_G1G31,1449,2,3747.9714305918433,7.118810388902918e-08
봉남도-2,1000297.5919425763,1610553.8570202077,GR2_G1H44,1520,3,4088.3412928906514,5.98281656331627e-08
바래도,998904.9089919209,1613098.061928726,GR2_G1G24,1388,1,1677.8782601050698,3.5520490286612295e-07
바래도,998904.9089919209,1613098.061928726,GR2_G1G31,1449,2,2053.5782329263684,2.3712502644101656e-07
바래도,998904.9089919209,1613098.061928726,GR2_G1G23,1387,3,4202.964616393462,5.660939425693027e-08
원주도,997435.4359422773,1630528.67812387,GR2_F2P13,1885,1,2425.463044451721,1.699850011014226e-07
원주도,997435.4359422773,1630528.67812387,GR2_F2P12,1822,2,3508.001452774419,8.126067688874918e-08
원주도,997435.4359422773,1630528.67812387,GR2_F2P14,1886,3,3956.8193356266183,6.38715609140691e-08
묵도,998113.6321597573,1629536.878294943,GR2_F2P13,1885,1,1467.097070578919,4.646030948061073e-07
묵도,998113.6321597573,1629536.878294943,GR2_F2P14,1886,2,2839.8815909024565,1.2399366047159605e-07
묵도,998113.6321597573,1629536.878294943,GR2_F2P12,1822,3,3526.799085431812,8.039675613272487e-08
죽도,997343.2337682574,1629858.0814433345,GR2_F2P13,1885,1,1779.368735913688,3.1584059680546205e-07
죽도,997343.2337682574,1629858.0814433345,GR2_F2P12,1822,2,3010.9870974270993,1.1030168911746495e-07
죽도,997343.2337682574,1629858.0814433345,GR2_F2P14,1886,3,3669.358348519585,7.427107568245804e-08
대옥대도,997150.7603370041,1619285.8277334436,GR2_G1E34,1506,1,2005.2408274015647,2.486948632919345e-07
대옥대도,997150.7603370041,1619285.8277334436,GR2_G1E33,1505,2,2975.387855689847,1.1295690357834448e-07
대옥대도,997150.7603370041,1619285.8277334436,GR2_G1E41,1443,3,3926.5301329261015,6.486077035612934e-08
대옥대도-1,997308.4191693455,1619454.1076472022,GR2_G1E34,1506,1,1801.6537591162714,3.0807552826994884e-07
대옥대도-1,997308.4191693455,1619454.1076472022,GR2_G1E33,1505,2,2995.9345401956257,1.1141285712371973e-07
